outer_fold,inner_fold,config_id,learning_rate,scheduler,image_size,fine_tuning,loss,architecture,initialization,train_patients,train_cme_positive_patients,train_cme_negative_patients,train_images,validation_patients,validation_cme_positive_patients,validation_cme_negative_patients,validation_images,accuracy,auroc,auprc,sensitivity,specificity,precision,recall,f1,threshold,tn,fp,fn,tp,best_epoch,seed
4,1,lr_1em04_sched_cosine_img_320_ft_full_loss_weighted_cross_entropy_c4cc1f1985,0.0001,cosine,320,full,weighted_cross_entropy,resnet18,imagenet,70,29,41,125,24,11,13,41,0.75,0.7902097902097902,0.8184467048103412,0.8181818181818182,0.6923076923076923,0.6923076923076923,0.8181818181818182,0.75,0.4916620850563049,9,4,2,9,7,40142
4,2,lr_1em04_sched_cosine_img_320_ft_full_loss_weighted_cross_entropy_c4cc1f1985,0.0001,cosine,320,full,weighted_cross_entropy,resnet18,imagenet,70,29,41,124,24,11,13,42,0.875,0.8951048951048951,0.911096256684492,0.7272727272727273,1.0,1.0,0.7272727272727273,0.8421052631578947,0.5401387214660645,13,0,3,8,6,40242
4,3,lr_1em04_sched_cosine_img_320_ft_full_loss_weighted_cross_entropy_c4cc1f1985,0.0001,cosine,320,full,weighted_cross_entropy,resnet18,imagenet,71,33,38,126,23,7,16,40,0.8695652173913043,0.8392857142857143,0.8020408163265305,0.8571428571428571,0.875,0.75,0.8571428571428571,0.8,0.8066203594207764,14,2,1,6,2,40342
4,4,lr_1em04_sched_cosine_img_320_ft_full_loss_weighted_cross_entropy_c4cc1f1985,0.0001,cosine,320,full,weighted_cross_entropy,resnet18,imagenet,71,29,42,123,23,11,12,43,0.9130434782608696,0.9393939393939394,0.9287124491669948,0.9090909090909092,0.9166666666666666,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.2415181994438171,11,1,1,10,26,40442
4,1,lr_1em04_sched_cosine_img_320_ft_full_loss_focal_cae5e53d6e,0.0001,cosine,320,full,focal,resnet18,imagenet,70,29,41,125,24,11,13,41,0.8333333333333334,0.8251748251748252,0.8614259477895843,0.6363636363636364,1.0,1.0,0.6363636363636364,0.7777777777777778,0.3730640709400177,13,0,4,7,10,40142
4,2,lr_1em04_sched_cosine_img_320_ft_full_loss_focal_cae5e53d6e,0.0001,cosine,320,full,focal,resnet18,imagenet,70,29,41,124,24,11,13,42,0.875,0.888111888111888,0.9224992398905444,0.8181818181818182,0.9230769230769232,0.9,0.8181818181818182,0.8571428571428571,0.4961936175823211,12,1,2,9,10,40242
4,3,lr_1em04_sched_cosine_img_320_ft_full_loss_focal_cae5e53d6e,0.0001,cosine,320,full,focal,resnet18,imagenet,71,33,38,126,23,7,16,40,0.8695652173913043,0.8660714285714286,0.680952380952381,0.8571428571428571,0.875,0.75,0.8571428571428571,0.8,0.1981405168771743,14,2,1,6,3,40342
4,4,lr_1em04_sched_cosine_img_320_ft_full_loss_focal_cae5e53d6e,0.0001,cosine,320,full,focal,resnet18,imagenet,71,29,42,123,23,11,12,43,0.8260869565217391,0.8939393939393939,0.9008610373583636,0.9090909090909092,0.75,0.7692307692307693,0.9090909090909092,0.8333333333333334,0.2094549983739853,9,3,1,10,11,40442
4,1,lr_1em04_sched_none_img_224_ft_fc_only_loss_weighted_cross_entropy_471dbeb812,0.0001,none,224,fc_only,weighted_cross_entropy,resnet18,imagenet,70,29,41,125,24,11,13,41,0.5,0.4195804195804195,0.4281500359156718,1.0,0.0769230769230769,0.4782608695652174,1.0,0.6470588235294118,0.1335555613040924,1,12,0,11,29,40142
4,2,lr_1em04_sched_none_img_224_ft_fc_only_loss_weighted_cross_entropy_471dbeb812,0.0001,none,224,fc_only,weighted_cross_entropy,resnet18,imagenet,70,29,41,124,24,11,13,42,0.6666666666666666,0.6013986013986015,0.5864933796540889,1.0,0.3846153846153846,0.5789473684210527,1.0,0.7333333333333333,0.1116783246397972,5,8,0,11,21,40242
